Species,Percentage,Repository,Frequency
Homo Sapiens,29.96389892,MetaboLights,83
Mus musculus,12.99638989,MetaboLights,36
Arabidopsis thaliana,7.220216606,MetaboLights,20
Rattus norvegicus,2.166064982,MetaboLights,6
Oryza sativa,1.444043321,MetaboLights,4
Escherichia coli,1.083032491,MetaboLights,3
Solanum lycopersicum,3.249097473,MetaboLights,9
Lycopersicon esculentum,0,MetaboLights,0
Other Species,41.87725632,MetaboLights,116
Homo Sapiens,39.72972973,Metabolomics Workbench,147
Mus musculus,32.43243243,Metabolomics Workbench,120
Arabidopsis thaliana,0.810810811,Metabolomics Workbench,3
Rattus norvegicus,5.135135135,Metabolomics Workbench,19
Oryza sativa,0.27027027,Metabolomics Workbench,1
Escherichia coli,1.621621622,Metabolomics Workbench,6
Solanum lycopersicum,0,Metabolomics Workbench,0
Lycopersicon esculentum,0,Metabolomics Workbench,0
Other Species,20,Metabolomics Workbench,74
Homo Sapiens,1.694915254,MetaPhen,1
Mus musculus,0,MetaPhen,0
Arabidopsis thaliana,62.71186441,MetaPhen,37
Rattus norvegicus,0,MetaPhen,0
Oryza sativa,8.474576271,MetaPhen,5
Escherichia coli,0,MetaPhen,0
Solanum lycopersicum,0,MetaPhen,0
Lycopersicon esculentum,0,MetaPhen,0
Other Species,27.11864407,MetaPhen,16
Homo Sapiens,0,MeRy-B,0
Mus musculus,0,MeRy-B,0
Arabidopsis thaliana,6.451612903,MeRy-B,2
Rattus norvegicus,0,MeRy-B,0
Oryza sativa,3.225806452,MeRy-B,1
Escherichia coli,0,MeRy-B,0
Solanum lycopersicum,0,MeRy-B,0
Lycopersicon esculentum,29.03225806,MeRy-B,9
Other Species,61.29032258,MeRy-B,19
